Product,Year,UnitsSold,SalesAmount
Product_1,2019,1978,128371.60501846219
Product_1,2020,1275,16696.08279797131
Product_1,2021,3652,121575.80435229356
Product_1,2022,4443,346476.3671437197
Product_1,2023,1521,86402.11141903052
Product_2,2019,4343,115684.06103126275
Product_2,2020,661,30117.48753974794
Product_2,2021,1495,95397.44214903151
Product_2,2022,3842,69018.93735951273
Product_2,2023,4298,244449.1084631891
Product_3,2019,837,49025.00833286937
Product_3,2020,4493,435250.2885983995
Product_3,2021,879,30624.29528980341
Product_3,2022,2562,63727.25080914712
Product_3,2023,3068,243912.22569819307
Product_4,2019,2527,92018.0155761234
Product_4,2020,891,67369.08480520677
Product_4,2021,4974,82886.8287952829
Product_4,2022,2778,190562.27791599618
Product_4,2023,3599,315557.8306753635
Product_5,2019,3604,56655.78649877463
Product_5,2020,2954,207358.13543314664
Product_5,2021,1304,98666.58108975521
Product_5,2022,3273,294076.25758070854
Product_5,2023,3190,250321.38745791125
Product_6,2019,1002,79545.8202883023
Product_6,2020,1370,18685.461590088587
Product_6,2021,706,34225.956306502245
Product_6,2022,1984,55858.98076900835
Product_6,2023,1363,91698.46514972794
Product_7,2019,1063,64518.57397098062
Product_7,2020,2257,50872.39833346553
Product_7,2021,2178,169883.1341772084
Product_7,2022,1559,147881.78448499032
Product_7,2023,2222,161163.09090928012
Product_8,2019,3125,206849.57603762933
Product_8,2020,2097,140512.29096621223
Product_8,2021,3193,163124.3395196739
Product_8,2022,4127,195974.2899374901
Product_8,2023,2481,145239.72919734564
Product_9,2019,2029,42584.48140788996
Product_9,2020,3802,348318.5561281261
Product_9,2021,1806,87482.0999633117
Product_9,2022,3175,132496.5506974888
Product_9,2023,1782,18934.982694592367
Product_10,2019,4913,147339.4105558428
Product_10,2020,1163,110324.35870852337
Product_10,2021,3945,117122.23615941858
Product_10,2022,1995,146177.0540696292
Product_10,2023,2353,229324.29165781784
